step	t	dt	phi_p_avg	phi_p_min	phi_p_max	phi_r_avg	phi_r_min	phi_r_max	phi_m_avg	phi_m_min	phi_m_max	residuals	max_rate_of_change	free_energy
0	0.00000000	1.000e-04	1.5000e-01	1.5000e-01	1.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.5766e-10	3.3355e-17	1.9391e-08	9.2835e-08	3.1979e-06	5.9220e-02
50	0.11639085	1.174e-02	1.5000e-01	1.4947e-01	1.5393e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2439e-06	2.0919e-14	2.6212e-05	2.2415e-09	3.4750e-04	4.3443e-02
100	13.35257802	8.000e-01	1.5000e-01	1.4081e-01	3.1310e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.1975e-04	1.7371e-12	1.6898e-02	2.8373e-06	8.0742e-03	-4.5133e-01
150	52.97722390	1.000e+00	1.5000e-01	1.3565e-01	4.9635e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.5179e-03	8.9084e-11	1.7932e-01	1.1434e-04	4.2770e-03	3.3324e+00
200	102.97722390	1.000e+00	1.5000e-01	1.3737e-01	3.5169e-01	0.0000e+00	0.0000e+00	0.0000e+00	8.0404e-03	1.3800e-09	2.2716e-01	7.1778e-06	7.5894e-04	1.3154e+01
250	152.97722390	1.000e+00	1.5000e-01	1.3766e-01	3.1956e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.0322e-02	7.6981e-09	2.2519e-01	1.1883e-06	2.6916e-04	1.6104e+01
300	202.97722390	1.000e+00	1.5000e-01	1.3750e-01	3.1259e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.1728e-02	2.9297e-08	2.2314e-01	3.7222e-07	1.3309e-04	1.7359e+01
350	252.97722390	1.000e+00	1.5001e-01	1.3721e-01	3.0999e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2723e-02	9.8700e-08	2.2246e-01	1.6353e-07	7.6694e-05	1.8152e+01
400	302.97722390	1.000e+00	1.5003e-01	1.3696e-01	3.0849e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.3449e-02	2.7194e-07	2.2218e-01	8.6949e-08	4.7511e-05	1.8672e+01
450	352.97722390	1.000e+00	1.5009e-01	1.3682e-01	3.0758e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.3984e-02	5.8234e-07	2.2201e-01	4.9771e-08	3.0601e-05	1.9001e+01
500	402.97722390	1.000e+00	1.5019e-01	1.3678e-01	3.0707e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.4380e-02	1.0110e-06	2.2189e-01	2.8152e-08	2.0290e-05	1.9207e+01
550	452.97722390	1.000e+00	1.5035e-01	1.3684e-01	3.0682e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.4678e-02	1.5055e-06	2.2187e-01	1.5113e-08	1.3864e-05	1.9342e+01
600	502.97722390	1.000e+00	1.5057e-01	1.3699e-01	3.0673e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.4907e-02	2.0104e-06	2.2194e-01	1.2075e-08	9.9011e-06	1.9442e+01
650	552.97722390	1.000e+00	1.5085e-01	1.3722e-01	3.0675e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5089e-02	2.4844e-06	2.2211e-01	1.7713e-08	1.1212e-05	1.9529e+01
700	602.97722390	1.000e+00	1.5120e-01	1.3751e-01	3.0683e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5239e-02	2.9038e-06	2.2238e-01	2.4808e-08	1.4384e-05	1.9619e+01
750	652.97722390	1.000e+00	1.5159e-01	1.3785e-01	3.0694e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5370e-02	3.2596e-06	2.2273e-01	3.1216e-08	1.7271e-05	1.9720e+01
800	702.97722390	1.000e+00	1.5202e-01	1.3822e-01	3.0708e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5488e-02	3.5525e-06	2.2316e-01	3.6581e-08	1.9689e-05	1.9834e+01
850	752.97722390	1.000e+00	1.5249e-01	1.3863e-01	3.0722e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5600e-02	3.7886e-06	2.2364e-01	4.0906e-08	2.1644e-05	1.9964e+01
900	802.97722390	1.000e+00	1.5298e-01	1.3906e-01	3.0736e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5709e-02	3.9766e-06	2.2417e-01	4.4307e-08	2.3194e-05	2.0109e+01
950	852.97722390	1.000e+00	1.5349e-01	1.3950e-01	3.0751e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5817e-02	4.1254e-06	2.2473e-01	4.6926e-08	2.4410e-05	2.0267e+01
1000	902.97722390	1.000e+00	1.5402e-01	1.3996e-01	3.0765e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.5925e-02	4.2436e-06	2.2531e-01	4.8910e-08	2.5360e-05	2.0437e+01
