step	t	dt	phi_p_avg	phi_p_min	phi_p_max	phi_r_avg	phi_r_min	phi_r_max	phi_m_avg	phi_m_min	phi_m_max	residuals	max_rate_of_change	free_energy
0	0.00000000	1.000e-04	1.5000e-01	1.5000e-01	1.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.5766e-10	3.3355e-17	1.9391e-08	9.2835e-08	3.1979e-06	5.9220e-02
50	0.11639085	1.174e-02	1.5000e-01	1.4947e-01	1.5393e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2444e-06	2.0924e-14	2.6220e-05	2.2417e-09	3.4750e-04	4.3443e-02
100	13.35257802	8.000e-01	1.5000e-01	1.4080e-01	3.1345e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.2976e-04	1.8250e-12	1.7348e-02	2.8947e-06	8.1393e-03	-4.5280e-01
150	53.47215651	1.000e+00	1.5000e-01	1.3580e-01	4.6972e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.9156e-03	1.1650e-10	1.9250e-01	1.0727e-04	4.1951e-03	4.2838e+00
200	103.47215651	1.000e+00	1.5000e-01	1.3792e-01	3.2030e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.2916e-03	2.2159e-09	2.4493e-01	6.7494e-06	9.4671e-04	1.6684e+01
250	153.47215651	1.000e+00	1.5000e-01	1.3828e-01	2.8255e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2965e-02	1.5213e-08	2.5179e-01	1.3253e-06	4.7630e-04	2.3436e+01
300	203.47215651	1.000e+00	1.5001e-01	1.3797e-01	2.6790e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.6066e-02	7.1132e-08	2.5536e-01	4.9531e-07	3.2039e-04	2.8707e+01
350	253.47215651	1.000e+00	1.5003e-01	1.3743e-01	2.5926e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.8902e-02	2.8875e-07	2.5847e-01	2.4816e-07	2.4196e-04	3.3425e+01
400	303.47215651	1.000e+00	1.5010e-01	1.3690e-01	2.5315e-01	0.0000e+00	0.0000e+00	0.0000e+00	2.1557e-02	9.4338e-07	2.6117e-01	1.4452e-07	1.9376e-04	3.7757e+01
450	353.47215651	1.000e+00	1.5030e-01	1.3654e-01	2.4859e-01	0.0000e+00	0.0000e+00	0.0000e+00	2.4072e-02	2.3860e-06	2.6345e-01	9.2558e-08	1.6108e-04	4.1765e+01
500	403.47215651	1.000e+00	1.5075e-01	1.3650e-01	2.4518e-01	0.0000e+00	0.0000e+00	0.0000e+00	2.6470e-02	4.8817e-06	2.6544e-01	6.3985e-08	1.3777e-04	4.5504e+01
550	453.47215651	1.000e+00	1.5159e-01	1.3693e-01	2.4267e-01	0.0000e+00	0.0000e+00	0.0000e+00	2.8772e-02	8.5308e-06	2.6730e-01	4.8060e-08	1.2078e-04	4.9037e+01
600	503.47215651	1.000e+00	1.5297e-01	1.3796e-01	2.4092e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.0997e-02	1.3285e-05	2.6921e-01	4.0499e-08	1.0847e-04	5.2436e+01
650	553.47215651	1.000e+00	1.5501e-01	1.3971e-01	2.3977e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.3163e-02	1.9004e-05	2.7137e-01	3.9642e-08	1.0002e-04	5.5791e+01
700	603.47215651	1.000e+00	1.5783e-01	1.4227e-01	2.3911e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.5293e-02	2.5501e-05	2.7392e-01	4.4524e-08	9.5302e-05	5.9201e+01
750	653.47215651	1.000e+00	1.6151e-01	1.4569e-01	2.3883e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.7407e-02	3.2585e-05	2.7699e-01	5.4318e-08	1.0429e-04	6.2778e+01
800	703.47215651	1.000e+00	1.6612e-01	1.5005e-01	2.3888e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.9526e-02	4.0081e-05	2.8066e-01	6.8538e-08	1.2607e-04	6.6637e+01
850	753.47215651	1.000e+00	1.7169e-01	1.5536e-01	2.3924e-01	0.0000e+00	0.0000e+00	0.0000e+00	4.1671e-02	4.7841e-05	2.8495e-01	8.6893e-08	1.5025e-04	7.0895e+01
900	803.47215651	1.000e+00	1.7825e-01	1.6164e-01	2.3994e-01	0.0000e+00	0.0000e+00	0.0000e+00	4.3858e-02	5.5746e-05	2.8982e-01	1.0890e-07	1.7650e-04	7.5659e+01
950	853.47215651	1.000e+00	1.8582e-01	1.6891e-01	2.4115e-01	0.0000e+00	0.0000e+00	0.0000e+00	4.6100e-02	6.3711e-05	2.9519e-01	1.3355e-07	2.0478e-04	8.1017e+01
1000	903.47215651	1.000e+00	1.9440e-01	1.7715e-01	2.4318e-01	0.0000e+00	0.0000e+00	0.0000e+00	4.8407e-02	7.1679e-05	3.0093e-01	1.5910e-07	2.3555e-04	8.7033e+01
