step	t	dt	phi_p_avg	phi_p_min	phi_p_max	phi_r_avg	phi_r_min	phi_r_max	phi_m_avg	phi_m_min	phi_m_max	residuals	max_rate_of_change	free_energy
0	0.00000000	1.000e-04	1.5000e-01	1.5000e-01	1.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.5766e-10	3.3427e-17	1.9391e-08	9.2835e-08	3.1979e-06	5.9220e-02
50	0.11639085	1.174e-02	1.5000e-01	1.4947e-01	1.5393e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2435e-06	4.5339e-14	2.6203e-05	2.2414e-09	3.4750e-04	4.3443e-02
100	13.35257802	8.000e-01	1.5000e-01	1.4082e-01	3.1277e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.1018e-04	2.5703e-11	1.6467e-02	2.7821e-06	8.0113e-03	-4.4987e-01
150	53.14759190	1.000e+00	1.5000e-01	1.3553e-01	5.1748e-01	0.0000e+00	0.0000e+00	0.0000e+00	3.2399e-03	1.6036e-09	1.6887e-01	1.1721e-04	4.3016e-03	2.6941e+00
200	103.14759190	1.000e+00	1.5000e-01	1.3669e-01	3.8604e-01	0.0000e+00	0.0000e+00	0.0000e+00	7.1381e-03	2.5335e-08	2.1550e-01	8.4841e-06	6.4721e-04	1.0887e+01
250	153.14759190	1.000e+00	1.5000e-01	1.3694e-01	3.5767e-01	0.0000e+00	0.0000e+00	0.0000e+00	8.6995e-03	1.3492e-07	2.1180e-01	1.2858e-06	1.6594e-04	1.2500e+01
300	203.14759190	1.000e+00	1.5000e-01	1.3693e-01	3.5422e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.3916e-03	4.5622e-07	2.0961e-01	3.1286e-07	5.9647e-05	1.2763e+01
350	253.14759190	1.000e+00	1.5000e-01	1.3678e-01	3.5357e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.7715e-03	1.3325e-06	2.0909e-01	9.9002e-08	2.6136e-05	1.2898e+01
400	303.14759190	1.000e+00	1.5000e-01	1.3668e-01	3.5317e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.9918e-03	3.3388e-06	2.0895e-01	4.4763e-08	1.2689e-05	1.2976e+01
450	353.14759190	1.000e+00	1.5000e-01	1.3661e-01	3.5294e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.0119e-02	6.7199e-06	2.0888e-01	2.2898e-08	6.4178e-06	1.3012e+01
500	403.14759190	1.000e+00	1.5000e-01	1.3658e-01	3.5283e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.0193e-02	1.1066e-05	2.0883e-01	1.2107e-08	3.3035e-06	1.3026e+01
